mature_accession	mature_name	mature_confidence	precursor_accession	precursor_name	precursor_confidence
MIMAT0027390	hsa-miR-6744-3p	low	MI0022589	hsa-mir-6744	low
MIMAT0016852	hsa-miR-4298	low	MI0015830	hsa-mir-4298	low
MIMAT0030422	hsa-miR-7847-3p	low	MI0025517	hsa-mir-7847	low
MIMAT0004284	hsa-miR-675-5p	high	MI0005416	hsa-mir-675	high
MIMAT0006790	hsa-miR-675-3p	high	MI0005416	hsa-mir-675	high
MIMAT0004761	hsa-miR-483-5p	high	MI0002467	hsa-mir-483	high
MIMAT0002173	hsa-miR-483-3p	high	MI0002467	hsa-mir-483	high
MIMAT0019773	hsa-miR-4686	low	MI0017318	hsa-mir-4686	low
MIMAT0019774	hsa-miR-4687-5p	high	MI0017319	hsa-mir-4687	high
MIMAT0019775	hsa-miR-4687-3p	high	MI0017319	hsa-mir-4687	high
MIMAT0005931	hsa-miR-302e	low	MI0006417	hsa-mir-302e	low
MIMAT0022483	hsa-miR-5691	low	MI0019296	hsa-mir-5691	low
MIMAT0019019	hsa-miR-4485-3p	low	MI0016846	hsa-mir-4485	low
MIMAT0032116	hsa-miR-4485-5p	low	MI0016846	hsa-mir-4485	low
MIMAT0016851	hsa-miR-4299	low	MI0015829	hsa-mir-4299	low
MIMAT0030997	hsa-miR-8070	low	MI0025906	hsa-mir-8070	low
MIMAT0024597	hsa-miR-6124	low	MI0021258	hsa-mir-6124	low
MIMAT0023698	hsa-miR-6073	low	MI0020350	hsa-mir-6073	low
MIMAT0015033	hsa-miR-3159	low	MI0014188	hsa-mir-3159	low
MIMAT0019020	hsa-miR-4486	low	MI0016847	hsa-mir-4486	low
MIMAT0019786	hsa-miR-4694-5p	low	MI0017327	hsa-mir-4694	low
MIMAT0019787	hsa-miR-4694-3p	low	MI0017327	hsa-mir-4694	low
MIMAT0030981	hsa-miR-8054	low	MI0025890	hsa-mir-8054	low
MIMAT0031014	hsa-miR-8087	low	MI0025923	hsa-mir-8087	low
MIMAT0003278	hsa-miR-610	low	MI0003623	hsa-mir-610	low
MIMAT0030995	hsa-miR-8068	low	MI0025904	hsa-mir-8068	low
MIMAT0019776	hsa-miR-1343-3p	high	MI0017320	hsa-mir-1343	high
MIMAT0027038	hsa-miR-1343-5p	high	MI0017320	hsa-mir-1343	high
MIMAT0019358	hsa-miR-3973	low	MI0016991	hsa-mir-3973	low
MIMAT0010357	hsa-miR-670-5p	low	MI0003933	hsa-mir-670	low
MIMAT0026640	hsa-miR-670-3p	low	MI0003933	hsa-mir-670	low
MIMAT0000242	hsa-miR-129-5p	high	MI0000473	hsa-mir-129-2	high
MIMAT0004605	hsa-miR-129-2-3p	high	MI0000473	hsa-mir-129-2	high
MIMAT0028218	hsa-miR-7154-5p	high	MI0023614	hsa-mir-7154	high
MIMAT0028219	hsa-miR-7154-3p	high	MI0023614	hsa-mir-7154	high
MIMAT0019777	hsa-miR-4688	low	MI0017321	hsa-mir-4688	low
MIMAT0015034	hsa-miR-3160-3p	low	MI0014189	hsa-mir-3160-1	low
MIMAT0019212	hsa-miR-3160-5p	low	MI0014189	hsa-mir-3160-1	low
MIMAT0019212	hsa-miR-3160-5p	low	MI0014190	hsa-mir-3160-2	low
MIMAT0015034	hsa-miR-3160-3p	low	MI0014190	hsa-mir-3160-2	low
MIMAT0022279	hsa-miR-5582-5p	low	MI0019138	hsa-mir-5582	low
MIMAT0022280	hsa-miR-5582-3p	low	MI0019138	hsa-mir-5582	low
MIMAT0027391	hsa-miR-6745	low	MI0022590	hsa-mir-6745	low
MIMAT0019021	hsa-miR-4487	low	MI0016848	hsa-mir-4487	low
MIMAT0015035	hsa-miR-3161	low	MI0014191	hsa-mir-3161	low
MIMAT0024611	hsa-miR-6128	low	MI0021272	hsa-mir-6128	low
MIMAT0004593	hsa-miR-130a-5p	high	MI0000448	hsa-mir-130a	high
MIMAT0000425	hsa-miR-130a-3p	high	MI0000448	hsa-mir-130a	high
MIMAT0015036	hsa-miR-3162-5p	low	MI0014192	hsa-mir-3162	low
MIMAT0019213	hsa-miR-3162-3p	low	MI0014192	hsa-mir-3162	low
MIMAT0025462	hsa-miR-6503-5p	low	MI0022215	hsa-mir-6503	low
MIMAT0025463	hsa-miR-6503-3p	low	MI0022215	hsa-mir-6503	low
MIMAT0019022	hsa-miR-4488	low	MI0016849	hsa-mir-4488	low
MIMAT0003279	hsa-miR-611	low	MI0003624	hsa-mir-611	low
MIMAT0007881	hsa-miR-1908-5p	low	MI0008329	hsa-mir-1908	low
MIMAT0026916	hsa-miR-1908-3p	low	MI0008329	hsa-mir-1908	low
MIMAT0027392	hsa-miR-6746-5p	low	MI0022591	hsa-mir-6746	low
MIMAT0027393	hsa-miR-6746-3p	low	MI0022591	hsa-mir-6746	low
MIMAT0027394	hsa-miR-6747-5p	low	MI0022592	hsa-mir-6747	low
MIMAT0027395	hsa-miR-6747-3p	low	MI0022592	hsa-mir-6747	low
MIMAT0027396	hsa-miR-6748-5p	low	MI0022593	hsa-mir-6748	low
MIMAT0027397	hsa-miR-6748-3p	low	MI0022593	hsa-mir-6748	low
MIMAT0025484	hsa-miR-6514-5p	high	MI0022226	hsa-mir-6514	high
MIMAT0025485	hsa-miR-6514-3p	high	MI0022226	hsa-mir-6514	high
MIMAT0028220	hsa-miR-7155-5p	low	MI0023615	hsa-mir-7155	low
MIMAT0028221	hsa-miR-7155-3p	low	MI0023615	hsa-mir-7155	low
MIMAT0005592	hsa-miR-1237-3p	low	MI0006327	hsa-mir-1237	low
MIMAT0022946	hsa-miR-1237-5p	low	MI0006327	hsa-mir-1237	low
MIMAT0041615	hsa-miR-10392-5p	low	MI0033416	hsa-mir-10392	low
MIMAT0041616	hsa-miR-10392-3p	low	MI0033416	hsa-mir-10392	low
MIMAT0000222	hsa-miR-192-5p	high	MI0000234	hsa-mir-192	high
MIMAT0004543	hsa-miR-192-3p	high	MI0000234	hsa-mir-192	high
MIMAT0000460	hsa-miR-194-5p	unknown	MI0000732	hsa-mir-194-2	high
MIMAT0004671	hsa-miR-194-3p	high	MI0000732	hsa-mir-194-2	high
MIMAT0027400	hsa-miR-6750-5p	low	MI0022595	hsa-mir-6750	low
MIMAT0027401	hsa-miR-6750-3p	low	MI0022595	hsa-mir-6750	low
MIMAT0027398	hsa-miR-6749-5p	low	MI0022594	hsa-mir-6749	low
MIMAT0027399	hsa-miR-6749-3p	low	MI0022594	hsa-mir-6749	low
MIMAT0027658	hsa-miR-6879-5p	low	MI0022726	hsa-mir-6879	low
MIMAT0027659	hsa-miR-6879-3p	low	MI0022726	hsa-mir-6879	low
MIMAT0027402	hsa-miR-6751-5p	low	MI0022596	hsa-mir-6751	low
MIMAT0027403	hsa-miR-6751-3p	low	MI0022596	hsa-mir-6751	low
MIMAT0003280	hsa-miR-612	low	MI0003625	hsa-mir-612	low
MIMAT0019779	hsa-miR-4690-5p	low	MI0017323	hsa-mir-4690	low
MIMAT0019780	hsa-miR-4690-3p	low	MI0017323	hsa-mir-4690	low
MIMAT0019023	hsa-miR-4489	low	MI0016850	hsa-mir-4489	low
MIMAT0015037	hsa-miR-3163	low	MI0014193	hsa-mir-3163	low
MIMAT0027622	hsa-miR-6860	low	MI0022707	hsa-mir-6860	low
MIMAT0027404	hsa-miR-6752-5p	low	MI0022597	hsa-mir-6752	low
MIMAT0027405	hsa-miR-6752-3p	low	MI0022597	hsa-mir-6752	low
MIMAT0028123	hsa-miR-7113-5p	low	MI0022964	hsa-mir-7113	low
MIMAT0028124	hsa-miR-7113-3p	low	MI0022964	hsa-mir-7113	low
MIMAT0019781	hsa-miR-4691-5p	low	MI0017324	hsa-mir-4691	low
MIMAT0019782	hsa-miR-4691-3p	low	MI0017324	hsa-mir-4691	low
MIMAT0027406	hsa-miR-6753-5p	low	MI0022598	hsa-mir-6753	low
MIMAT0027407	hsa-miR-6753-3p	low	MI0022598	hsa-mir-6753	low
MIMAT0015038	hsa-miR-3164	low	MI0014194	hsa-mir-3164	low
MIMAT0005882	hsa-miR-548k	low	MI0006354	hsa-mir-548k	low
MIMAT0018086	hsa-miR-3664-5p	high	MI0016065	hsa-mir-3664	high
MIMAT0019220	hsa-miR-3664-3p	high	MI0016065	hsa-mir-3664	high
MIMAT0027408	hsa-miR-6754-5p	low	MI0022599	hsa-mir-6754	low
MIMAT0027409	hsa-miR-6754-3p	low	MI0022599	hsa-mir-6754	low
MIMAT0015039	hsa-miR-3165	low	MI0014195	hsa-mir-3165	low
MIMAT0000250	hsa-miR-139-5p	high	MI0000261	hsa-mir-139	high
MIMAT0004552	hsa-miR-139-3p	high	MI0000261	hsa-mir-139	high
MIMAT0019783	hsa-miR-4692	low	MI0017325	hsa-mir-4692	low
MIMAT0019024	hsa-miR-548al	low	MI0016851	hsa-mir-548al	low
MIMAT0019790	hsa-miR-4696	low	MI0017329	hsa-mir-4696	low
MIMAT0000756	hsa-miR-326	low	MI0000808	hsa-mir-326	low
MIMAT0004926	hsa-miR-708-5p	high	MI0005543	hsa-mir-708	high
MIMAT0004927	hsa-miR-708-3p	high	MI0005543	hsa-mir-708	high
MIMAT0022269	hsa-miR-5579-5p	low	MI0019133	hsa-mir-5579	low
MIMAT0022270	hsa-miR-5579-3p	low	MI0019133	hsa-mir-5579	low
MIMAT0016853	hsa-miR-4300	low	MI0015831	hsa-mir-4300	low
MIMAT0027410	hsa-miR-6755-5p	low	MI0022600	hsa-mir-6755	low
MIMAT0027411	hsa-miR-6755-3p	low	MI0022600	hsa-mir-6755	low
MIMAT0015040	hsa-miR-3166	low	MI0014196	hsa-mir-3166	low
MIMAT0019025	hsa-miR-4490	low	MI0016852	hsa-mir-4490	low
MIMAT0005913	hsa-miR-1261	low	MI0006396	hsa-mir-1261	low
MIMAT0005892	hsa-miR-1304-5p	high	MI0006371	hsa-mir-1304	high
MIMAT0022720	hsa-miR-1304-3p	high	MI0006371	hsa-mir-1304	high
MIMAT0005889	hsa-miR-548l	low	MI0006361	hsa-mir-548l	low
MIMAT0015041	hsa-miR-1260b	low	MI0014197	hsa-mir-1260b	low
MIMAT0018195	hsa-miR-3920	low	MI0016427	hsa-mir-3920	low
MIMAT0019784	hsa-miR-4693-5p	low	MI0017326	hsa-mir-4693	low
MIMAT0019785	hsa-miR-4693-3p	low	MI0017326	hsa-mir-4693	low
MIMAT0019026	hsa-miR-4491	low	MI0016853	hsa-mir-4491	low
MIMAT0000685	hsa-miR-34b-5p	high	MI0000742	hsa-mir-34b	high
MIMAT0004676	hsa-miR-34b-3p	high	MI0000742	hsa-mir-34b	high
MIMAT0000686	hsa-miR-34c-5p	high	MI0000743	hsa-mir-34c	high
MIMAT0004677	hsa-miR-34c-3p	high	MI0000743	hsa-mir-34c	high
MIMAT0016850	hsa-miR-4301	low	MI0015828	hsa-mir-4301	low
MIMAT0025844	hsa-miR-6716-5p	low	MI0022550	hsa-mir-6716	low
MIMAT0025845	hsa-miR-6716-3p	low	MI0022550	hsa-mir-6716	low
MIMAT0019027	hsa-miR-4492	low	MI0016854	hsa-mir-4492	low
MIMAT0027412	hsa-miR-6756-5p	low	MI0022601	hsa-mir-6756	low
MIMAT0027413	hsa-miR-6756-3p	low	MI0022601	hsa-mir-6756	low
MIMAT0000423	hsa-miR-125b-5p	high	MI0000446	hsa-mir-125b-1	high
MIMAT0004592	hsa-miR-125b-1-3p	high	MI0000446	hsa-mir-125b-1	high
MIMAT0000062	hsa-let-7a-5p	high	MI0000061	hsa-let-7a-2	high
MIMAT0010195	hsa-let-7a-2-3p	high	MI0000061	hsa-let-7a-2	high
MIMAT0041996	hsa-miR-10526-3p	low	MI0033673	hsa-mir-10526	low
MIMAT0000098	hsa-miR-100-5p	high	MI0000102	hsa-mir-100	high
MIMAT0004512	hsa-miR-100-3p	high	MI0000102	hsa-mir-100	high
MIMAT0019028	hsa-miR-4493	low	MI0016855	hsa-mir-4493	low
MIMAT0015042	hsa-miR-3167	low	MI0014198	hsa-mir-3167	low
MIMAT0023715	hsa-miR-6090	low	MI0020367	hsa-mir-6090	low
MIMAT0030979	hsa-miR-8052	low	MI0025888	hsa-mir-8052	low
MIMAT0019791	hsa-miR-4697-5p	low	MI0017330	hsa-mir-4697	low
MIMAT0019792	hsa-miR-4697-3p	low	MI0017330	hsa-mir-4697	low
MIMAT0018069	hsa-miR-3649	low	MI0016049	hsa-mir-3649	low
MIMAT0004657	hsa-miR-200c-5p	high	MI0000650	hsa-mir-200c	high
MIMAT0000617	hsa-miR-200c-3p	high	MI0000650	hsa-mir-200c	high
MIMAT0004598	hsa-miR-141-5p	high	MI0000457	hsa-mir-141	high
MIMAT0000432	hsa-miR-141-3p	high	MI0000457	hsa-mir-141	high
MIMAT0005896	hsa-miR-1244	low	MI0015975	hsa-mir-1244-3	low
MIMAT0005896	hsa-miR-1244	low	MI0031511	hsa-mir-1244-4	low
MIMAT0003281	hsa-miR-613	low	MI0003626	hsa-mir-613	low
MIMAT0003282	hsa-miR-614	low	MI0003627	hsa-mir-614	low
MIMAT0019359	hsa-miR-3974	low	MI0016992	hsa-mir-3974	low
MIMAT0004970	hsa-miR-920	low	MI0005712	hsa-mir-920	low
MIMAT0016855	hsa-miR-4302	low	MI0015833	hsa-mir-4302	low
MIMAT0030426	hsa-miR-7851-3p	low	MI0025521	hsa-mir-7851	low
MIMAT0019793	hsa-miR-4698	low	MI0017331	hsa-mir-4698	low
MIMAT0019029	hsa-miR-4494	low	MI0016856	hsa-mir-4494	low
MIMAT0025466	hsa-miR-6505-5p	high	MI0022217	hsa-mir-6505	high
MIMAT0025467	hsa-miR-6505-3p	high	MI0022217	hsa-mir-6505	high
MIMAT0005881	hsa-miR-1291	low	MI0006353	hsa-mir-1291	low
MIMAT0019798	hsa-miR-4701-5p	low	MI0017334	hsa-mir-4701	low
MIMAT0019799	hsa-miR-4701-3p	low	MI0017334	hsa-mir-4701	low
MIMAT0005883	hsa-miR-1293	low	MI0006355	hsa-mir-1293	low
MIMAT0039318	hsa-miR-9898	low	MI0031826	hsa-mir-9898	low
MIMAT0027414	hsa-miR-6757-5p	low	MI0022602	hsa-mir-6757	low
MIMAT0027415	hsa-miR-6757-3p	low	MI0022602	hsa-mir-6757	low
MIMAT0000226	hsa-miR-196a-5p	high	MI0000279	hsa-mir-196a-2	high
MIMAT0004562	hsa-miR-196a-3p	high	MI0000279	hsa-mir-196a-2	high
MIMAT0004804	hsa-miR-615-5p	high	MI0003628	hsa-mir-615	high
MIMAT0003283	hsa-miR-615-3p	high	MI0003628	hsa-mir-615	high
MIMAT0015083	hsa-miR-3198	low	MI0017335	hsa-mir-3198-2	low
MIMAT0004699	hsa-miR-148b-5p	high	MI0000811	hsa-mir-148b	high
MIMAT0000759	hsa-miR-148b-3p	high	MI0000811	hsa-mir-148b	high
MIMAT0005582	hsa-miR-1228-5p	low	MI0006318	hsa-mir-1228	low
MIMAT0005583	hsa-miR-1228-3p	low	MI0006318	hsa-mir-1228	low
MIMAT0027416	hsa-miR-6758-5p	high	MI0022603	hsa-mir-6758	high
MIMAT0027417	hsa-miR-6758-3p	high	MI0022603	hsa-mir-6758	high
MIMAT0003284	hsa-miR-616-5p	high	MI0003629	hsa-mir-616	high
MIMAT0004805	hsa-miR-616-3p	high	MI0003629	hsa-mir-616	high
MIMAT0027418	hsa-miR-6759-5p	low	MI0022604	hsa-mir-6759	low
MIMAT0027419	hsa-miR-6759-3p	low	MI0022604	hsa-mir-6759	low
MIMAT0000082	hsa-miR-26a-5p	high	MI0000750	hsa-mir-26a-2	high
MIMAT0004681	hsa-miR-26a-2-3p	high	MI0000750	hsa-mir-26a-2	high
MIMAT0024598	hsa-miR-6125	low	MI0021259	hsa-mir-6125	low
MIMAT0000415	hsa-let-7i-5p	high	MI0000434	hsa-let-7i	high
MIMAT0004585	hsa-let-7i-3p	high	MI0000434	hsa-let-7i	high
MIMAT0041997	hsa-miR-10527-5p	low	MI0033674	hsa-mir-10527	low
MIMAT0004806	hsa-miR-548c-5p	low	MI0003630	hsa-mir-548c	low
MIMAT0003285	hsa-miR-548c-3p	low	MI0003630	hsa-mir-548c	low
MIMAT0018446	hsa-miR-548z	low	MI0016688	hsa-mir-548z	low
MIMAT0023699	hsa-miR-6074	low	MI0020351	hsa-mir-6074	low
MIMAT0025460	hsa-miR-6502-5p	low	MI0022214	hsa-mir-6502	low
MIMAT0025461	hsa-miR-6502-3p	low	MI0022214	hsa-mir-6502	low
MIMAT0005937	hsa-miR-1279	low	MI0006426	hsa-mir-1279	low
MIMAT0018187	hsa-miR-3913-5p	low	MI0016417	hsa-mir-3913-1	low
MIMAT0019225	hsa-miR-3913-3p	low	MI0016417	hsa-mir-3913-1	low
MIMAT0018187	hsa-miR-3913-5p	low	MI0016418	hsa-mir-3913-2	low
MIMAT0019225	hsa-miR-3913-3p	low	MI0016418	hsa-mir-3913-2	low
MIMAT0005944	hsa-miR-1252-5p	high	MI0006434	hsa-mir-1252	high
MIMAT0026744	hsa-miR-1252-3p	high	MI0006434	hsa-mir-1252	high
MIMAT0003286	hsa-miR-617	low	MI0003631	hsa-mir-617	low
MIMAT0003287	hsa-miR-618	low	MI0003632	hsa-mir-618	low
MIMAT0019794	hsa-miR-4699-5p	low	MI0017332	hsa-mir-4699	low
MIMAT0019795	hsa-miR-4699-3p	low	MI0017332	hsa-mir-4699	low
MIMAT0048633	hsa-miR-3059-5p	high	MI0039499	hsa-mir-3059	high
MIMAT0048634	hsa-miR-3059-3p	high	MI0039499	hsa-mir-3059	high
MIMAT0022493	hsa-miR-5700	low	MI0019307	hsa-mir-5700	low
MIMAT0030419	hsa-miR-7844-5p	low	MI0025514	hsa-mir-7844	low
MIMAT0002812	hsa-miR-492	low	MI0003131	hsa-mir-492	low
MIMAT0004700	hsa-miR-331-5p	low	MI0000812	hsa-mir-331	low
MIMAT0000760	hsa-miR-331-3p	low	MI0000812	hsa-mir-331	low
MIMAT0018113	hsa-miR-3685	low	MI0016086	hsa-mir-3685	low
MIMAT0005903	hsa-miR-1251-5p	low	MI0006386	hsa-mir-1251	low
MIMAT0026741	hsa-miR-1251-3p	low	MI0006386	hsa-mir-1251	low
MIMAT0000428	hsa-miR-135a-5p	high	MI0000453	hsa-mir-135a-2	high
MIMAT0037309	hsa-miR-135a-2-3p	high	MI0000453	hsa-mir-135a-2	high
MIMAT0019030	hsa-miR-4495	low	MI0016857	hsa-mir-4495	low
MIMAT0016856	hsa-miR-4303	low	MI0015834	hsa-mir-4303	low
MIMAT0006767	hsa-miR-1827	low	MI0008195	hsa-mir-1827	low
MIMAT0018072	hsa-miR-3652	low	MI0016052	hsa-mir-3652	low
MIMAT0018197	hsa-miR-3922-3p	low	MI0016429	hsa-mir-3922	low
MIMAT0019227	hsa-miR-3922-5p	low	MI0016429	hsa-mir-3922	low
MIMAT0019031	hsa-miR-4496	low	MI0016858	hsa-mir-4496	low
MIMAT0003288	hsa-miR-619-3p	low	MI0003633	hsa-mir-619	low
MIMAT0026622	hsa-miR-619-5p	low	MI0003633	hsa-mir-619	low
MIMAT0019032	hsa-miR-4497	low	MI0016859	hsa-mir-4497	low
MIMAT0027420	hsa-miR-6760-5p	low	MI0022605	hsa-mir-6760	low
MIMAT0027421	hsa-miR-6760-3p	low	MI0022605	hsa-mir-6760	low
MIMAT0027422	hsa-miR-6761-5p	low	MI0022606	hsa-mir-6761	low
MIMAT0027423	hsa-miR-6761-3p	low	MI0022606	hsa-mir-6761	low
MIMAT0018077	hsa-miR-3657	low	MI0016057	hsa-mir-3657	low
MIMAT0027623	hsa-miR-6861-5p	low	MI0022708	hsa-mir-6861	low
MIMAT0027624	hsa-miR-6861-3p	low	MI0022708	hsa-mir-6861	low
MIMAT0005890	hsa-miR-1302	low	MI0006362	hsa-mir-1302-1	low
MIMAT0028109	hsa-miR-7106-5p	low	MI0022957	hsa-mir-7106	low
MIMAT0028110	hsa-miR-7106-3p	low	MI0022957	hsa-mir-7106	low
MIMAT0027424	hsa-miR-6762-5p	low	MI0022607	hsa-mir-6762	low
MIMAT0027425	hsa-miR-6762-3p	low	MI0022607	hsa-mir-6762	low
MIMAT0003289	hsa-miR-620	low	MI0003634	hsa-mir-620	low
MIMAT0018999	hsa-miR-4472	low	MI0016824	hsa-mir-4472-2	low
MIMAT0005823	hsa-miR-1178-3p	low	MI0006271	hsa-mir-1178	low
MIMAT0022940	hsa-miR-1178-5p	low	MI0006271	hsa-mir-1178	low
MIMAT0019033	hsa-miR-4498	low	MI0016860	hsa-mir-4498	low
MIMAT0019796	hsa-miR-4700-5p	low	MI0017333	hsa-mir-4700	low
MIMAT0019797	hsa-miR-4700-3p	low	MI0017333	hsa-mir-4700	low
MIMAT0028111	hsa-miR-7107-5p	low	MI0022958	hsa-mir-7107	low
MIMAT0028112	hsa-miR-7107-3p	low	MI0022958	hsa-mir-7107	low
MIMAT0039322	hsa-miR-9902	low	MI0031830	hsa-mir-9902-1	low
MIMAT0039322	hsa-miR-9902	low	MI0041071	hsa-mir-9902-2	low
MIMAT0016854	hsa-miR-4304	low	MI0015832	hsa-mir-4304	low
MIMAT0030999	hsa-miR-8072	low	MI0025908	hsa-mir-8072	low
MIMAT0018182	hsa-miR-3908	low	MI0016412	hsa-mir-3908	low
MIMAT0027660	hsa-miR-6880-5p	low	MI0022727	hsa-mir-6880	low
MIMAT0027661	hsa-miR-6880-3p	low	MI0022727	hsa-mir-6880	low
MIMAT0021119	hsa-miR-5188	low	MI0018167	hsa-mir-5188	low
MIMAT0017989	hsa-miR-3612	low	MI0016002	hsa-mir-3612	low
MIMAT0027426	hsa-miR-6763-5p	low	MI0022608	hsa-mir-6763	low
MIMAT0027427	hsa-miR-6763-3p	low	MI0022608	hsa-mir-6763	low
MIMAT0019035	hsa-miR-4499	low	MI0016862	hsa-mir-4499	low
MIMAT0011775	hsa-miR-2276-3p	high	MI0011282	hsa-mir-2276	high
MIMAT0026921	hsa-miR-2276-5p	high	MI0011282	hsa-mir-2276	high
MIMAT0016857	hsa-miR-4305	low	MI0015835	hsa-mir-4305	low
MIMAT0006764	hsa-miR-320d	low	MI0008190	hsa-mir-320d-1	low
MIMAT0003290	hsa-miR-621	low	MI0003635	hsa-mir-621	low
MIMAT0015043	hsa-miR-3168	low	MI0014199	hsa-mir-3168	low
MIMAT0021033	hsa-miR-5006-5p	low	MI0017873	hsa-mir-5006	low
MIMAT0021034	hsa-miR-5006-3p	low	MI0017873	hsa-mir-5006	low
MIMAT0031006	hsa-miR-8079	low	MI0025915	hsa-mir-8079	low
MIMAT0017990	hsa-miR-3613-5p	high	MI0016003	hsa-mir-3613	high
MIMAT0017991	hsa-miR-3613-3p	high	MI0016003	hsa-mir-3613	high
MIMAT0000069	hsa-miR-16-5p	high	MI0000070	hsa-mir-16-1	high
MIMAT0004489	hsa-miR-16-1-3p	high	MI0000070	hsa-mir-16-1	high
MIMAT0000068	hsa-miR-15a-5p	high	MI0000069	hsa-mir-15a	high
MIMAT0004488	hsa-miR-15a-3p	high	MI0000069	hsa-mir-15a	high
MIMAT0022486	hsa-miR-5693	low	MI0019300	hsa-mir-5693	low
MIMAT0019801	hsa-miR-4703-5p	low	MI0017336	hsa-mir-4703	low
MIMAT0019802	hsa-miR-4703-3p	low	MI0017336	hsa-mir-4703	low
MIMAT0010497	hsa-miR-759	low	MI0004065	hsa-mir-759	low
MIMAT0005886	hsa-miR-1297	low	MI0006358	hsa-mir-1297	low
MIMAT0021035	hsa-miR-5007-5p	low	MI0017874	hsa-mir-5007	low
MIMAT0021036	hsa-miR-5007-3p	low	MI0017874	hsa-mir-5007	low
MIMAT0015044	hsa-miR-3169	low	MI0014200	hsa-mir-3169	low
MIMAT0015081	hsa-miR-548x-3p	unknown	MI0016833	hsa-mir-548x-2	low
MIMAT0019803	hsa-miR-4704-5p	low	MI0017337	hsa-mir-4704	low
MIMAT0019804	hsa-miR-4704-3p	low	MI0017337	hsa-mir-4704	low
MIMAT0018087	hsa-miR-3665	low	MI0016066	hsa-mir-3665	low
MIMAT0019036	hsa-miR-4500	low	MI0016863	hsa-mir-4500	low
MIMAT0003291	hsa-miR-622	low	MI0003636	hsa-mir-622	low
MIMAT0000070	hsa-miR-17-5p	high	MI0000071	hsa-mir-17	high
MIMAT0000071	hsa-miR-17-3p	high	MI0000071	hsa-mir-17	high
MIMAT0000072	hsa-miR-18a-5p	high	MI0000072	hsa-mir-18a	high
MIMAT0002891	hsa-miR-18a-3p	high	MI0000072	hsa-mir-18a	high
MIMAT0004490	hsa-miR-19a-5p	high	MI0000073	hsa-mir-19a	high
MIMAT0000073	hsa-miR-19a-3p	high	MI0000073	hsa-mir-19a	high
MIMAT0000075	hsa-miR-20a-5p	high	MI0000076	hsa-mir-20a	high
MIMAT0004493	hsa-miR-20a-3p	high	MI0000076	hsa-mir-20a	high
MIMAT0004491	hsa-miR-19b-1-5p	high	MI0000074	hsa-mir-19b-1	high
MIMAT0000074	hsa-miR-19b-3p	high	MI0000074	hsa-mir-19b-1	high
MIMAT0004507	hsa-miR-92a-1-5p	high	MI0000093	hsa-mir-92a-1	high
MIMAT0000092	hsa-miR-92a-3p	high	MI0000093	hsa-mir-92a-1	high
MIMAT0022267	hsa-miR-548as-5p	high	MI0019132	hsa-mir-548as	high
MIMAT0022268	hsa-miR-548as-3p	high	MI0019132	hsa-mir-548as	high
MIMAT0019037	hsa-miR-4501	low	MI0016864	hsa-mir-4501	low
MIMAT0015045	hsa-miR-3170	low	MI0014201	hsa-mir-3170	low
MIMAT0003292	hsa-miR-623	low	MI0003637	hsa-mir-623	low
MIMAT0016858	hsa-miR-4306	low	MI0015836	hsa-mir-4306	low
MIMAT0013515	hsa-miR-2681-5p	high	MI0012062	hsa-mir-2681	high
MIMAT0013516	hsa-miR-2681-3p	high	MI0012062	hsa-mir-2681	high
MIMAT0019805	hsa-miR-4705	low	MI0017338	hsa-mir-4705	low
MIMAT0005921	hsa-miR-1267	low	MI0006404	hsa-mir-1267	low
MIMAT0031000	hsa-miR-8073	low	MI0025909	hsa-mir-8073	low
MIMAT0031002	hsa-miR-8075	low	MI0025911	hsa-mir-8075	low
MIMAT0022265	hsa-miR-548ar-5p	high	MI0019131	hsa-mir-548ar	high
MIMAT0022266	hsa-miR-548ar-3p	high	MI0019131	hsa-mir-548ar	high
MIMAT0019038	hsa-miR-4502	low	MI0016865	hsa-mir-4502	low
MIMAT0025846	hsa-miR-6717-5p	low	MI0022551	hsa-mir-6717	low
MIMAT0019807	hsa-miR-4707-5p	high	MI0017340	hsa-mir-4707	high
MIMAT0019808	hsa-miR-4707-3p	high	MI0017340	hsa-mir-4707	high
MIMAT0000241	hsa-miR-208a-3p	high	MI0000251	hsa-mir-208a	high
MIMAT0026474	hsa-miR-208a-5p	high	MI0000251	hsa-mir-208a	high
MIMAT0004960	hsa-miR-208b-3p	high	MI0005570	hsa-mir-208b	high
MIMAT0026722	hsa-miR-208b-5p	high	MI0005570	hsa-mir-208b	high
MIMAT0030018	hsa-miR-7703	low	MI0025239	hsa-mir-7703	low
MIMAT0016860	hsa-miR-4307	low	MI0015838	hsa-mir-4307	low
MIMAT0015046	hsa-miR-3171	low	MI0014202	hsa-mir-3171	low
MIMAT0003293	hsa-miR-624-5p	low	MI0003638	hsa-mir-624	low
MIMAT0004807	hsa-miR-624-3p	low	MI0003638	hsa-mir-624	low
MIMAT0019039	hsa-miR-4503	low	MI0016866	hsa-mir-4503	low
MIMAT0018354	hsa-miR-548y	low	MI0016595	hsa-mir-548y	low
MIMAT0023701	hsa-miR-6076	low	MI0020353	hsa-mir-6076	low
MIMAT0019040	hsa-miR-4504	low	MI0016867	hsa-mir-4504	low
MIMAT0022273	hsa-miR-5580-5p	low	MI0019135	hsa-mir-5580	low
